ce96c2718b567977fcedc548cf6d58cfee2e1a25,
Test=opentest, Iter=0, ExecCount=5, Mean=16470342.8, Standard Deviation=1101338.612927332
Test=writetest, Iter=0, ExecCount=5, Mean=1082624514, Standard Deviation=48309351.91776007
Test=writebig, Iter=0, ExecCount=5, Mean=2274638159, Standard Deviation=111435970.73081851
Test=createtest, Iter=0, ExecCount=5, Mean=1882006420.8, Standard Deviation=56693489.86942161
Test=openiput, Iter=0, ExecCount=5, Mean=359200543.6, Standard Deviation=1550321.3455857465
Test=exitiput, Iter=0, ExecCount=5, Mean=56341209.8, Standard Deviation=3192831.0291762543
Test=iput, Iter=0, ExecCount=5, Mean=55159170.8, Standard Deviation=2522408.096355881
Test=mem, Iter=0, ExecCount=5, Mean=755262093.4, Standard Deviation=36856595.96052208
Test=pipe1, Iter=0, ExecCount=5, Mean=26287900.6, Standard Deviation=844049.5962882158
Test=killstatus, Iter=0, ExecCount=5, Mean=2515403829.6, Standard Deviation=101989857.51948443
Test=preempt, Iter=0, ExecCount=5, Mean=436689784.2, Standard Deviation=158695354.55392775
Test=exitwait, Iter=0, ExecCount=5, Mean=328360251.8, Standard Deviation=1274645.2306964477
Test=rmdot, Iter=0, ExecCount=5, Mean=64314732, Standard Deviation=4856183.200656767
Test=fourteen, Iter=0, ExecCount=5, Mean=121840430.2, Standard Deviation=2395347.0336247105
Test=bigfile, Iter=0, ExecCount=5, Mean=199853605.6, Standard Deviation=8560740.91996115
Test=dirfile, Iter=0, ExecCount=5, Mean=72285656.8, Standard Deviation=1350269.631175085
Test=iref, Iter=0, ExecCount=5, Mean=1851802469.8, Standard Deviation=52757174.828028284
Test=forktest, Iter=0, ExecCount=5, Mean=203288826.2, Standard Deviation=1328232.9125133513
Test=bigdir, Iter=0, ExecCount=5, Mean=3055493727.8, Standard Deviation=858156992.9828392
a8ee5985550ff065ffbd5a342af51540d299740e,
Test=manywrites, Iter=0, ExecCount=5, Mean=1712224876.8, Standard Deviation=364154620.06277716
Test=execout, Iter=0, ExecCount=5, Mean=2441321411.8, Standard Deviation=1389239660.6523366
Test=copyin, Iter=0, ExecCount=5, Mean=69265731.6, Standard Deviation=5174515.765686466
Test=copyout, Iter=0, ExecCount=5, Mean=13529079.6, Standard Deviation=500104.81912025204
Test=copyinstr1, Iter=0, ExecCount=5, Mean=9135211.2, Standard Deviation=1018684.4211752724
Test=copyinstr2, Iter=0, ExecCount=5, Mean=16150315, Standard Deviation=1588707.4332344832
Test=copyinstr3, Iter=0, ExecCount=5, Mean=11438868.2, Standard Deviation=1697265.1529425802
Test=rwsbrk, Iter=0, ExecCount=5, Mean=43507752.4, Standard Deviation=1994207.9137635825
Test=truncate1, Iter=0, ExecCount=5, Mean=59194709, Standard Deviation=2744078.314246971
Test=truncate2, Iter=0, ExecCount=5, Mean=51393947.2, Standard Deviation=3715098.784045547
Test=truncate3, Iter=0, ExecCount=5, Mean=565928379.2, Standard Deviation=11907941.11389474
Test=reparent2, Iter=0, ExecCount=5, Mean=1276757506.4, Standard Deviation=372162437.4394854
Test=pgbug, Iter=0, ExecCount=5, Mean=8047056, Standard Deviation=2385327.561180644
Test=sbrkbugs, Iter=0, ExecCount=5, Mean=26989398.4, Standard Deviation=2634540.0154779013
Test=badarg, Iter=0, ExecCount=5, Mean=1606008110.6, Standard Deviation=349264763.03719985
Test=reparent, Iter=0, ExecCount=5, Mean=1643820571, Standard Deviation=291705987.3023576
Test=twochildren, Iter=0, ExecCount=5, Mean=2399017159.6, Standard Deviation=29588549.781261068
